State,District Roads (km),National Highways (km),Rural Roads (km),State Highways (km),Urban Roads (km),Number of Black Spots Declared by the State,Number of Killed per 100 Accidents,Total Number of People Killed
Andaman And Nicobar Islands,159.5,330.75,528.75,224.83333333333334,113.15384615384616,,11.366666666666667,18.571428571428573
Andhra Pradesh,34091.0,7406.716666666667,105374.39642279226,7119.783173971128,12960.97425863908,273.1463438554129,29.213969487810843,7951.285714285715
Arunachal Pradesh,5673.0,2828.6633333333334,13469.25,4805.111111111111,109.6923076923077,5.0,51.57222222222222,134.14285714285714
Assam,5588.25,3968.604,275986.25,2802.3076923076924,5608.846153846154,12.0,37.544444444444444,2884.0
Bihar,11430.25,5480.696666666667,187861.5,3990.4615384615386,9676.615384615385,94.0,56.81111111111111,6806.571428571428
Chandigarh,83.0,15.243333333333334,0.0,78.41666666666667,2071.923076923077,6.0,32.63333333333333,98.85714285714286
Chhattisgarh,15279.75,3599.2833333333333,39072.75,4114.923076923077,9366.23076923077,142.0,28.366666666666664,4778.571428571428
Delhi,1871.5,144.04999999999998,0.0,0.0,24990.23076923077,113.0,25.016666666666666,1460.5714285714287
Goa,1090.25,296.05,10733.125,279.0769230769231,910.9230769230769,29.0,7.6722222222222225,277.57142857142856
Gujarat,30922.25,7040.0,77445.125,18090.923076923078,23023.615384615383,250.0,32.5,7435.857142857143
Haryana,21928.25,3159.7999999999997,10448.375,2215.0,9885.153846153846,23.0,42.86666666666667,4921.0
Himachal Pradesh,3298.5,2612.8433333333332,31130.75,1503.1538461538462,2412.3076923076924,116.0,36.81666666666666,1115.0
Jammu And Kashmir,13312.604460476878,2193.144794344765,29112.64805116763,125.53461518762589,1556.9522396149732,62.60011904313815,16.102836825307914,867.2226487635945
Jharkhand,10027.75,3270.2366666666667,28546.625,1620.25,2589.6666666666665,52.0,54.33888888888889,3440.1428571428573
Karnataka,49834.75,7460.988333333334,192168.875,18759.076923076922,36137.692307692305,,23.144444444444442,10741.42857142857
Kerala,27470.25,1781.6566666666665,148918.375,4207.7692307692305,21333.923076923078,243.0,10.549999999999999,3983.714285714286
Ladakh,332.145539523121,304.72520565523484,726.3519488323647,3.1320514790407716,34.816991154257636,1.3998809568618544,2.840558571528594,31.205922664976868
Lakshadweep,0.0,,215.75,0.0,3.3076923076923075,,15.833333333333334,0.7142857142857143
Madhya Pradesh,38990.75,8758.913333333332,182429.625,10060.615384615385,17474.846153846152,303.0,18.2,11200.42857142857
Maharashtra,109252.5,17743.091666666667,323551.5,35973.92307692308,21946.153846153848,,26.42222222222222,13081.285714285714
Manipur,7873.75,1779.4966666666664,12663.0,909.0,163.46153846153845,5.0,23.772222222222222,124.42857142857143
Meghalaya,4951.0,1163.8,13259.125,897.9230769230769,141.92307692307693,1.0,40.40555555555555,169.42857142857142
Mizoram,1689.5,1435.2783333333334,4790.125,235.6153846153846,483.7692307692308,2.0,77.0111111111111,62.0
Nagaland,6130.25,1588.375,25067.0,659.1538461538462,197.69230769230768,17.0,46.06666666666666,47.57142857142857
Odisha,17622.25,5771.21,219126.0,4126.923076923077,19237.76923076923,,41.727777777777774,5026.714285714285
Puducherry,472.25,51.63333333333333,1722.375,36.69230769230769,863.3076923076923,,14.116666666666667,188.0
Punjab,6924.5,3703.1899999999996,79770.75,1312.3076923076924,13460.76923076923,296.0,70.52222222222221,4578.285714285715
Rajasthan,23533.5,10198.093333333334,149538.25,11956.384615384615,20160.30769230769,349.0,41.083333333333336,10312.714285714286
Sikkim,1442.0,586.0233333333333,5754.375,372.46153846153845,81.76923076923077,,35.711111111111116,73.71428571428571
Tamil Nadu,46412.25,6686.29,159695.125,10115.846153846154,21151.46153846154,748.0,23.522222222222222,13920.42857142857
Telangana,23801.75,4200.47,75612.60357720774,3558.8322106442565,6425.948818283997,192.8536561445871,25.049903281293652,7054.285714285715
The Dadra And Nagar Haveli And Daman And Diu,266.5,28.0,587.5,44.92307692307692,99.6923076923077,,101.75,79.85714285714286
Tripura,825.0,859.6366666666667,30043.25,796.2307692307693,392.3076923076923,9.0,31.405555555555555,201.85714285714286
Uttar Pradesh,55141.0,11472.768333333333,170869.625,7894.384615384615,58908.38461538462,253.0,54.69444444444444,21046.571428571428
Uttarakhand,4873.0,3159.93,20298.0,2951.923076923077,4328.923076923077,54.0,63.13333333333333,907.7142857142857
West Bengal,10447.75,3557.9116666666664,183043.375,3036.5384615384614,69735.61538461539,,43.71666666666667,5750.428571428572
